file,class_name,present
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,person,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,helmet,True
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gloves,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,boots,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,vest,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,no-helmet,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,no-gloves,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,no-boots,False
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,no-vest,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,person,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,helmet,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,gloves,True
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,boots,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,vest,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,no-helmet,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,no-gloves,True
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,no-boots,False
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,no-vest,False
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,person,False
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,helmet,False
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,gloves,True
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,boots,False
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,vest,False
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,no-helmet,False
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,no-gloves,True
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,no-boots,False
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,no-vest,False
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,person,False
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,helmet,False
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,gloves,False
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,boots,False
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,vest,False
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,no-helmet,False
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,no-gloves,True
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,no-boots,False
anuragraj03__PP02img667_jpg.rf.614a317243fabb7bd326e8d6437b42e4,no-vest,False
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,person,False
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,helmet,False
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,gloves,False
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,boots,True
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,vest,False
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,no-helmet,False
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,no-gloves,True
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,no-boots,False
anuragraj03__PPE_Data_181_jpg.rf.33359be7c33dbdaf16c2007f9092286a,no-vest,False
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,person,False
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,helmet,False
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,gloves,True
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,boots,False
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,vest,False
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,no-helmet,False
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,no-gloves,True
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,no-boots,False
anuragraj03__fglov146_jpg.rf.bcbaf7ab2a974cb248a8c723a7d499e5,no-vest,False
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,person,False
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,helmet,True
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,gloves,True
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,boots,True
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,vest,False
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,no-helmet,False
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,no-gloves,False
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,no-boots,True
anuragraj03__frame00001_png.rf.29c19a377463f435a3438130aca75f85,no-vest,False
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,person,False
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,helmet,True
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,gloves,True
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,boots,True
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,vest,False
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,no-helmet,False
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,no-gloves,False
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,no-boots,False
anuragraj03__frame00001_png.rf.8a0f5fb1d652ceb2340042962c04011a,no-vest,False
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,person,False
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,helmet,False
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,gloves,False
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,boots,True
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,vest,False
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,no-helmet,True
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,no-gloves,False
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,no-boots,False
anuragraj03__frame00001_png.rf.fdb6042a4dd9b2618e766ed3dcda2b7d,no-vest,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,person,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,helmet,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,gloves,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,boots,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,vest,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,no-helmet,True
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,no-gloves,False
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,no-boots,True
anuragraj03__frame00021_png.rf.38d421896f6c4c90266c4580f83c69e1,no-vest,False
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,person,False
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,helmet,False
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,gloves,False
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,boots,True
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,vest,False
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,no-helmet,True
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,no-gloves,False
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,no-boots,False
anuragraj03__frame00021_png.rf.645602dd7237ea2e6be17c088a456432,no-vest,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,person,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,helmet,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,gloves,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,boots,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,vest,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,no-helmet,False
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,no-gloves,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,no-boots,True
anuragraj03__frame00021_png.rf.6f750430bf2c2ad4d0d34dd36a9377d0,no-vest,False
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,person,False
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,helmet,False
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,gloves,False
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,boots,False
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,vest,False
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,no-helmet,True
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,no-gloves,False
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,no-boots,False
anuragraj03__frame00021_png.rf.9253ef57996b2acf0ee20fd0bdde9c18,no-vest,False
anuragraj03__frame00031_png.rf.f8f689368c7eef9c9d98724ffa09857c,person,False
anuragraj03__frame00031_png.rf.f8f689368c7eef9c9d98724ffa09857c,helmet,True
anuragraj03__frame00031_png.rf.f8f689368c7eef9c9d98724ffa09857c,gloves,True
